ID,Dominant,Duration,Time,AreaError,TimeTriangles_1,TimeTriangles_2,TimeTriangles_3,TimeTriangles_4,TimeTriangles_5,Distance,PC
54,0,8.0,19.065,201.9241884,3679,3645,4194,3741,3640,4.082428898,1
55,1,14.0,92.295,85.59640178,17755,35666,20061,19128,13995,4.275692272,1
55,0,14.0,69.18,174.3072809,15075,8705,6391,24179,19568,4.284922894,1
56,1,0.5,26.675,127.0903386,6202,4666,3794,5293,8012,4.122616237,1
56,0,0.5,23.025,233.4192482,5719,3428,4523,5750,5301,4.24933733,1
57,1,8.0,18.115,214.7960584,4759,3205,2341,4083,6280,4.182525903,1
57,0,8.0,38.85,269.4014053,12021,6741,5558,7961,7580,4.38830039,1
58,1,5.5,81.795,167.4136821,18599,17073,15205,18316,18047,4.441692377,1
6,1,1.0,15.36,336.758706,3593,3949,3455,4032,2360,5.441032688,1
6,0,1.0,18.665,279.3736691,8896,1296,3701,2502,4938,5.547211287,1
7,1,0.5,30.04,225.5375186,8485,6694,5565,5781,6577,5.296093216,1
7,0,0.5,30.245,149.1084918,10262,5085,7235,4703,5719,5.218589077,1
8,1,1.5,29.72,203.2220587,6840,7622,1376,9876,5659,5.368308702,1
8,0,1.5,32.15,147.9440766,6985,6174,6903,6450,5783,4.645332048,1
9,1,7.0,23.935,117.6193777,7644,3719,5001,4640,3889,4.784715355,1
9,0,7.0,22.545,131.5667253,8890,4829,4176,3437,3420,4.778408452,1
