ID,Dominant,Duration,Time,AreaError,TimeTriangles_1,TimeTriangles_2,TimeTriangles_3,TimeTriangles_4,TimeTriangles_5,Distance,PC
33,0,3.0,42.22,120.5229183,6075,10012,9931,6243,11504,5.153663894,1
34,1,10.0,86.17,139.9029654,15294,17625,12775,23826,20683,4.191286548,1
34,0,10.0,111.64,124.3186682,33291,18871,10311,25601,31424,4.564664102,1
35,1,0.5,65.415,123.40936,18379,10564,11797,13454,13933,4.145289689,1
35,0,0.5,83.875,109.4737318,25833,14248,12586,21826,19042,4.151968368,1
38,1,14.0,31.88,140.7008918,7173,8349,4955,10148,6547,4.301754058,1
38,0,14.0,41.42,87.63445507,10620,11771,5976,7862,8443,4.331404184,1
39,1,12.5,29.955,131.5685886,7149,4757,4616,7594,6604,4.682831555,1
39,0,12.5,39.945,1294.314482,11030,5389,21543,3872,1255,5.360622035,1
40,1,3.0,39.765,155.9627686,10690,6333,5638,7873,9624,4.197647098,1
40,0,3.0,48.31,135.4936723,11031,12926,9696,10234,5962,4.843768669,1
41,1,15.0,21.86,155.7725699,5523,4010,4644,4889,4647,4.068520506,1
41,0,15.0,25.05,223.3024003,5496,5622,6728,3576,5540,4.100281822,1
42,1,6.5,50.265,200.7723925,10114,16383,8818,9660,8244,4.864875919,1
42,0,6.5,63.91,243.6636143,25463,24199,5560,7588,15079,5.19037629,1
4,1,3.5,23.415,169.9145684,10126,3721,3183,4424,3937,5.682079365,1
4,0,3.5,18.35,343.8039921,1503,4279,1488,2012,9382,6.132510901,1
43,1,12.5,34.5,152.5890524,8474,6027,6984,7501,7539,4.160834581,1
43,0,12.5,44.58,128.6987585,11107,9492,9776,8803,9542,4.828503891,1
44,1,2.0,38.27,179.7821777,9997,8343,11181,6434,4801,4.860734812,1
44,0,2.0,36.63,156.6860943,4329,14102,13853,1545,2500,4.930466187,1
45,1,1.5,70.81,94.74371176,18342,11935,10721,18895,15194,4.150861214,1
45,0,1.5,127.66,108.9470817,47939,23184,30470,32094,23735,6.695734959,1
46,1,7.0,27.045,128.7240999,5049,4841,3935,6144,8395,4.159187903,1
46,0,7.0,38.67,689.2499656,7991,14642,4413,3596,6331,4.808935797,1
47,1,5.5,121.875,273.7150843,21308,24722,45857,16089,40456,8.953848503,1
47,0,5.5,79.53,231.624277,16509,11584,14058,26883,17170,11.90621946,1
